#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
125 61.538 42.308 65.385 56.410 7.138 0.000 0.000 0.000 0.000 0.000
126 69.231 42.308 53.846 55.128 7.798 0.000 0.000 1.562 0.521 0.521
127 50.000 38.462 53.846 47.436 4.623 0.000 0.000 3.125 1.042 1.042
128 69.231 46.154 61.538 58.974 6.784 0.000 0.000 0.000 0.000 0.000
129 69.231 42.308 61.538 57.692 8.006 0.000 0.000 0.000 0.000 0.000
130 50.000 50.000 53.846 51.282 1.282 0.000 0.000 0.000 0.000 0.000
131 69.231 61.538 46.154 58.974 6.784 0.000 1.562 0.000 0.521 0.521
132 73.077 61.538 42.308 58.974 8.974 0.000 0.000 0.000 0.000 0.000
133 57.692 73.077 53.846 61.538 5.875 0.000 0.000 0.000 0.000 0.000
134 69.231 80.769 53.846 67.949 7.798 0.000 0.000 0.000 0.000 0.000
135 73.077 46.154 50.000 56.410 8.407 0.000 0.000 0.000 0.000 0.000
136 57.692 53.846 53.846 55.128 1.282 0.000 0.000 0.000 0.000 0.000
137 76.923 53.846 46.154 58.974 9.245 0.000 0.000 0.000 0.000 0.000
138 53.846 65.385 65.385 61.538 3.846 0.000 0.000 0.000 0.000 0.000
139 53.846 76.923 57.692 62.821 7.138 0.000 0.000 0.000 0.000 0.000
140 61.538 69.231 50.000 60.256 5.588 0.000 0.000 0.000 0.000 0.000
141 61.538 46.154 42.308 50.000 5.875 0.000 0.000 0.000 0.000 0.000
142 46.154 42.308 50.000 46.154 2.221 0.000 0.000 0.000 0.000 0.000
143 46.154 38.462 53.846 46.154 4.441 0.000 0.000 0.000 0.000 0.000
144 57.692 61.538 73.077 64.103 4.623 0.000 3.125 0.000 1.042 1.042
145 53.846 53.846 80.769 62.821 8.974 0.000 0.000 0.000 0.000 0.000
146 34.615 53.846 61.538 50.000 8.006 0.000 0.000 0.000 0.000 0.000
147 50.000 100.000 34.615 61.538 19.737 0.000 0.000 0.000 0.000 0.000
148 53.846 61.538 46.154 53.846 4.441 0.000 0.000 0.000 0.000 0.000
149 38.462 53.846 30.769 41.026 6.784 0.000 0.000 0.000 0.000 0.000
150 42.308 46.154 23.077 37.179 7.138 0.000 0.000 3.125 1.042 1.042
151 53.846 53.846 30.769 46.154 7.692 0.000 0.000 0.000 0.000 0.000
152 42.308 57.692 34.615 44.872 6.784 0.000 0.000 1.562 0.521 0.521
153 53.846 53.846 26.923 44.872 8.974 0.000 0.000 1.562 0.521 0.521
154 38.462 50.000 15.385 34.615 10.176 0.000 0.000 0.000 0.000 0.000
155 34.615 42.308 23.077 33.333 5.588 0.000 0.000 0.000 0.000 0.000
156 50.000 53.846 26.923 43.590 8.407 0.000 0.000 0.000 0.000 0.000
157 53.846 65.385 38.462 52.564 7.798 0.000 0.000 0.000 0.000 0.000
158 42.308 76.923 38.462 52.564 12.230 0.000 0.000 0.000 0.000 0.000
159 34.615 50.000 50.000 44.872 5.128 0.000 0.000 0.000 0.000 0.000
160 61.538 61.538 42.308 55.128 6.410 0.000 0.000 1.562 0.521 0.521
161 34.615 57.692 50.000 47.436 6.784 0.000 0.000 1.562 0.521 0.521
162 57.692 61.538 50.000 56.410 3.392 0.000 0.000 1.562 0.521 0.521
163 42.308 61.538 46.154 50.000 5.875 0.000 0.000 0.000 0.000 0.000
164 50.000 50.000 53.846 51.282 1.282 0.000 0.000 0.000 0.000 0.000
165 46.154 26.923 57.692 43.590 8.974 0.000 0.000 3.125 1.042 1.042
166 38.462 42.308 57.692 46.154 5.875 0.000 0.000 3.125 1.042 1.042
167 38.462 42.308 50.000 43.590 3.392 0.000 0.000 1.562 0.521 0.521
168 42.308 38.462 73.077 51.282 10.954 0.000 0.000 1.562 0.521 0.521
169 46.154 30.769 73.077 50.000 12.364 0.000 0.000 0.000 0.000 0.000
170 42.308 53.846 61.538 52.564 5.588 0.000 0.000 0.000 0.000 0.000
171 34.615 65.385 61.538 53.846 9.679 0.000 0.000 1.562 0.521 0.521
172 34.615 50.000 57.692 47.436 6.784 0.000 0.000 1.562 0.521 0.521
173 34.615 61.538 53.846 50.000 8.006 0.000 0.000 0.000 0.000 0.000
174 42.308 53.846 46.154 47.436 3.392 0.000 0.000 0.000 0.000 0.000
175 38.462 50.000 50.000 46.154 3.846 0.000 0.000 0.000 0.000 0.000
176 38.462 38.462 34.615 37.179 1.282 0.000 0.000 0.000 0.000 0.000
177 34.615 34.615 19.231 29.487 5.128 0.000 0.000 0.000 0.000 0.000
178 26.923 30.769 42.308 33.333 4.623 0.000 0.000 0.000 0.000 0.000
179 26.923 46.154 53.846 42.308 8.006 0.000 0.000 1.562 0.521 0.521
180 34.615 26.923 38.462 33.333 3.392 0.000 0.000 1.562 0.521 0.521
181 42.308 42.308 65.385 50.000 7.692 0.000 0.000 0.000 0.000 0.000
182 61.538 50.000 57.692 56.410 3.392 0.000 0.000 0.000 0.000 0.000
183 46.154 34.615 53.846 44.872 5.588 0.000 0.000 1.562 0.521 0.521
184 53.846 53.846 65.385 57.692 3.846 0.000 0.000 0.000 0.000 0.000
185 53.846 50.000 65.385 56.410 4.623 0.000 0.000 0.000 0.000 0.000
186 50.000 38.462 46.154 44.872 3.392 0.000 0.000 0.000 0.000 0.000
187 46.154 38.462 50.000 44.872 3.392 0.000 0.000 0.000 0.000 0.000
188 34.615 42.308 53.846 43.590 5.588 0.000 0.000 0.000 0.000 0.000
189 30.769 46.154 57.692 44.872 7.798 0.000 0.000 0.000 0.000 0.000
190 38.462 46.154 57.692 47.436 5.588 0.000 0.000 0.000 0.000 0.000
191 30.769 42.308 57.692 43.590 7.798 0.000 0.000 0.000 0.000 0.000
192 38.462 42.308 53.846 44.872 4.623 0.000 0.000 0.000 0.000 0.000
193 50.000 50.000 34.615 44.872 5.128 0.000 0.000 0.000 0.000 0.000
194 46.154 26.923 34.615 35.897 5.588 0.000 0.000 0.000 0.000 0.000
