z_center,total_mean,mono_mean,mono_std,mono_n,dimer_mean,dimer_std,dimer_n,agreg_mean,agreg_std,agreg_n,mono_se,dimer_se,agreg_se
13.5,38045.666666666664,0.8633845792052868,0.011345760411665575,3,0.11849321535016853,0.008996460208247221,3,0.018122205444544667,0.003771939395651345,3,0.006550477827836119,0.00519410872298529,0.0021777302254462586
14.5,26775.0,0.891113509161782,0.003791753038842081,3,0.09624980390180078,0.0038635323674325586,3,0.012636686936417158,0.0005047878398282623,3,0.0021891696376760573,0.00223061145236002,0.00029143939520849695
15.5,16897.666666666668,0.9149383992025855,0.003890485153532731,3,0.07712612534675557,0.004641948950666126,3,0.007935475450658992,0.0009392426868039155,3,0.002246172650670365,0.002680030476231589,0.000542272018060628
16.5,9981.666666666666,0.9351574237938102,0.005022618520888446,3,0.06020650098077949,0.0030939124424520896,3,0.004636075225410319,0.0028217038482322675,3,0.002899810155071744,0.0017862711814988466,0.0016291114763503027
17.5,5436.0,0.951354308263531,0.005997652223082137,3,0.04604992231098209,0.0038562201036578,3,0.0025957694254870128,0.0023312311257700515,3,0.0034627461255022293,0.0022263897149012776,0.0013459369180065736
18.5,3175.6666666666665,0.9698061448532075,0.01138693566668397,3,0.027656246390989427,0.00994413706166918,3,0.002537608755803019,0.0014974268432838913,3,0.0065742503724049405,0.005741250209413236,0.0008645397910617262
19.5,1991.0,0.982302411988464,0.010703923161144269,3,0.015053364723373519,0.007463714772873777,3,0.002644223288162426,0.00335163360569618,3,0.006179912918471714,0.0043091777332732615,0.0019350665644736857
20.5,1503.6666666666667,0.9844198740348142,0.0028342625687586757,3,0.014290804560628673,0.003925326511345957,3,0.0012893214045570929,0.0011228030155956878,3,0.0016363622570269016,0.002266288317982763,0.000648250623301094
21.5,1529.6666666666667,0.9884054674102378,0.0019494511079243442,3,0.011594532589762077,0.0019494511079243793,3,0.0,0.0,3,0.0011255161219321343,0.0011255161219321547,0.0
22.5,1920.0,0.9871865604599349,0.002051404663154762,3,0.012813439540065065,0.0020514046631547344,3,0.0,0.0,3,0.0011843790344892556,0.0011843790344892395,0.0
23.5,2455.6666666666665,0.9875968621537359,0.001431971586384544,3,0.012403137846264081,0.0014319715863845479,3,0.0,0.0,3,0.000826749180871012,0.0008267491808710142,0.0
24.5,3212.0,0.9851344577119433,0.002512294294438534,3,0.014483425360276816,0.0027537805371868696,3,0.00038211692777990065,0.0006618459333469152,3,0.0014504737871776485,0.0015898959344339916,0.0003821169277799006
25.5,3959.6666666666665,0.9820438985094597,0.004003574535269873,3,0.017649635048615723,0.00436035718028435,3,0.00030646644192460924,0.0005308154482282799,3,0.0023114648356587922,0.0025174533918000874,0.0003064664419246093
26.5,4587.0,0.9829628909302978,0.004188763843053778,3,0.016823388189172197,0.004084695065391567,3,0.0002137208805300278,0.0003701754237163662,3,0.00241838393235887,0.0023582997955613576,0.0002137208805300278
27.5,5072.666666666667,0.9803945985647678,0.0007635851856857973,3,0.019605401435232133,0.0007635851856858147,3,0.0,0.0,3,0.00044085611250490545,0.00044085611250491554,0.0
28.5,5293.666666666667,0.9808273184625017,0.005031989386239839,3,0.01900823490043203,0.004939146764016953,3,0.000164446637066272,0.0002848299305326225,3,0.002905220426704911,0.002851617713772257,0.000164446637066272
29.5,5385.333333333333,0.9791432630749117,0.0009092148717636249,3,0.020185955029642055,0.0008374178382793449,3,0.0006707818954462078,0.000740754068605534,3,0.0005249354509639399,0.00048348341435477433,0.00042767456091271554
30.5,5370.333333333333,0.9761555960064928,0.0037817708672166377,3,0.023518564957990845,0.0034826778770574514,3,0.00032583903551645487,0.0005643697646037397,3,0.0021834064282010104,0.002010725009819874,0.00032583903551645487
31.5,5352.333333333333,0.9773961842485939,0.002503001092213965,3,0.022603815751406114,0.0025030010922140063,3,0.0,0.0,3,0.0014451083543716601,0.001445108354371684,0.0
32.5,5350.666666666667,0.9770761842414687,0.004628235182765095,3,0.022575470647340296,0.0043257514511973695,3,0.000348345111190961,0.0003030139302060113,3,0.002672112828642325,0.0024974737647962156,0.00017494517417264712
33.5,5323.0,0.9815510910217595,0.002243167381951561,3,0.018097990960948662,0.00195599039749872,3,0.0003509180172917413,0.0003057829538512047,3,0.0012950932918071219,0.0011292915825282092,0.00017654387071959198
34.5,5265.0,0.9806484238590478,0.008742981859364493,3,0.019182714269962712,0.008548060640485822,3,0.00016886187098953058,0.000292477340015008,3,0.005047762930024105,0.004935225111833735,0.00016886187098953058
35.5,5320.333333333333,0.980818204115487,0.002705630943840778,3,0.018817828641564796,0.002102400338622744,3,0.0003639672429481347,0.0006304097570769344,3,0.0015620967537542546,0.0012138214014482016,0.0003639672429481347
36.5,5320.666666666667,0.9795406459425947,0.006762723713017887,3,0.019950189087955095,0.006459731556170032,3,0.0005091649694501018,0.0008818995965218316,3,0.003904460356165943,0.003729527752847488,0.0005091649694501019
37.5,5293.666666666667,0.9789275524027357,0.0016983125886682023,3,0.020893332426209364,0.0017987004188910773,3,0.00017911517105498838,0.0003102365766736302,3,0.0009805212302357168,0.001038480171038256,0.00017911517105498838
38.5,5383.666666666667,0.983705705810574,0.006014386161349161,3,0.016120893807945087,0.005753534352094657,3,0.00017340038148083928,0.00030033827077663905,3,0.003472407469265298,0.003321804606973609,0.00017340038148083928
39.5,5236.0,0.9821119293568192,0.0007493947691037083,3,0.017183900928187182,0.00023251560256207747,3,0.0007041697149936079,0.0006108014987389985,3,0.0004326632716713234,0.00013424294573000347,0.00035264640971838766
40.5,5257.333333333333,0.97893051246527,0.002393103538611737,3,0.020367253664860956,0.0017861153241582259,3,0.0007022338698690799,0.0006089346382203497,3,0.0013816589722161325,0.0010312141632064674,0.0003515685772954063
41.5,5266.666666666667,0.9807848336924692,0.004756498004049575,3,0.01903436717536668,0.004612887600194617,3,0.0001807991321641656,0.0003131532828726952,3,0.0027461654030379403,0.0026632518977138487,0.0001807991321641656
42.5,5243.666666666667,0.9830081650657085,0.006012580499129808,3,0.015941818520725032,0.004988655857068566,3,0.001050016413566398,0.0010239257475494242,3,0.003471364969696889,0.00288020180197294,0.0005911638059778489
43.5,5259.0,0.983021104136641,0.0039268440609620085,3,0.0167992981622096,0.0036792515486396248,3,0.00017959770114942528,0.00031107234331337596,3,0.002267164475662099,0.0021242168720234347,0.0001795977011494253
44.5,5336.0,0.9825996694600132,0.00786569224329634,3,0.017224737914877036,0.007813155965448444,3,0.00017559262510974537,0.0003041353481244736,3,0.004541259534029894,0.004510927699872189,0.0001755926251097454
45.5,5279.0,0.9810874166925698,0.004275488224994331,3,0.018514760271149927,0.004621682227013819,3,0.00039782303628018275,0.00035224796554182084,3,0.0024684542776175528,0.002668329477875338,0.0002033704577270683
46.5,5286.0,0.9823292316534884,0.0006655650405550953,3,0.017450697923976393,0.0010330301415566805,3,0.00022007042253521127,0.0003811731530741367,3,0.0003842641553276885,0.0005964202303087467,0.00022007042253521127
47.5,5256.666666666667,0.9840178152384929,0.002603458279571728,3,0.015316848766829849,0.0034811268650995182,3,0.000665335994677312,0.0011523957468854806,3,0.0015031073385346973,0.002009829532648445,0.0006653359946773121
48.5,5155.333333333333,0.9814819581893385,0.0032939955137257283,3,0.01828936584450554,0.003589789612511007,3,0.000228675966155957,0.0003960783918520186,3,0.0019017891965589688,0.0020725659991173524,0.00022867596615595704
