z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
-2.500000	0.700000	0.710000	0.700000	0.710000	0.710000	0.710000	0.710000	0.710000	0.710000	0.707778	0.001470
-1.500000	0.660000	0.670000	0.670000	0.670000	0.670000	0.670000	0.670000	0.670000	0.670000	0.668889	0.001111
-0.500000	0.640000	0.640000	0.640000	0.640000	0.640000	0.640000	0.640000	0.640000	0.640000	0.640000	0.000000
0.500000	0.640000	0.650000	0.640000	0.640000	0.640000	0.640000	0.640000	0.640000	0.640000	0.641111	0.001111
1.500000	0.660000	0.670000	0.660000	0.670000	0.670000	0.670000	0.660000	0.670000	0.670000	0.666667	0.001667
2.500000	0.710000	0.710000	0.710000	0.710000	0.710000	0.710000	0.710000	0.710000	0.700000	0.708889	0.001111
3.500000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.000000
4.500000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.000000
5.500000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.000000
6.500000	0.820000	0.820000	0.820000	0.820000	0.820000	0.820000	0.820000	0.810000	0.820000	0.818889	0.001111
7.500000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.000000
8.500000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.000000
9.500000	0.840000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.848889	0.001111
10.500000	0.860000	0.860000	0.860000	0.860000	0.860000	0.860000	0.850000	0.850000	0.860000	0.857778	0.001470
11.500000	0.880000	0.880000	0.880000	0.880000	0.880000	0.870000	0.880000	0.880000	0.880000	0.878889	0.001111
12.500000	0.920000	0.920000	0.910000	0.920000	0.920000	0.920000	0.920000	0.930000	0.930000	0.921111	0.002003
13.500000	0.990000	0.990000	0.990000	1.000000	0.990000	0.990000	0.990000	1.000000	0.990000	0.992222	0.001470
14.500000	1.080000	1.090000	1.080000	1.090000	1.090000	1.080000	1.080000	1.090000	1.080000	1.084444	0.001757
