z	dens_traj1_401-600	dens_traj1_601-800	dens_traj1_801-1000	dens_traj2_401-600	dens_traj2_601-800	dens_traj2_801-1000	dens_traj3_401-600	dens_traj3_601-800	dens_traj3_801-1000	dens_mean	se
8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000350	0.000290	0.000010	0.000072	0.000047
9.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001390	0.001670	0.001020	0.000453	0.000233
10.500000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.004620	0.004990	0.002840	0.002494	0.001169
11.500000	0.010000	0.010000	0.010000	0.010000	0.020000	0.010000	0.015970	0.013980	0.010190	0.012238	0.001216
12.500000	0.030000	0.030000	0.040000	0.030000	0.040000	0.040000	0.049850	0.036560	0.029340	0.036194	0.002334
13.500000	0.070000	0.070000	0.080000	0.080000	0.090000	0.080000	0.098340	0.078380	0.065450	0.079130	0.003424
14.500000	0.140000	0.140000	0.150000	0.140000	0.150000	0.150000	0.169380	0.139860	0.129370	0.145401	0.003752
15.500000	0.220000	0.220000	0.230000	0.220000	0.240000	0.240000	0.260750	0.229190	0.208480	0.229824	0.005149
16.500000	0.310000	0.310000	0.320000	0.310000	0.320000	0.320000	0.340360	0.313740	0.290990	0.315010	0.004364
17.500000	0.390000	0.390000	0.400000	0.390000	0.400000	0.400000	0.401220	0.390820	0.367890	0.392214	0.003479
18.500000	0.450000	0.450000	0.450000	0.450000	0.460000	0.460000	0.454740	0.447840	0.437800	0.451153	0.002248
19.500000	0.500000	0.500000	0.510000	0.500000	0.510000	0.500000	0.511210	0.502140	0.488370	0.502413	0.002395
20.500000	0.550000	0.550000	0.560000	0.560000	0.570000	0.560000	0.579840	0.556260	0.536400	0.558056	0.004134
21.500000	0.620000	0.630000	0.640000	0.630000	0.640000	0.630000	0.650490	0.618230	0.606270	0.629443	0.004439
22.500000	0.700000	0.710000	0.720000	0.710000	0.720000	0.710000	0.734280	0.703670	0.670300	0.708694	0.005881
23.500000	0.790000	0.790000	0.800000	0.790000	0.800000	0.790000	0.811260	0.781490	0.771450	0.791578	0.003812
24.500000	0.860000	0.860000	0.870000	0.860000	0.870000	0.860000	0.881600	0.858140	0.846380	0.862902	0.003291
25.500000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.936950	0.907770	0.911500	0.919580	0.002655
26.500000	0.960000	0.960000	0.960000	0.960000	0.960000	0.960000	0.956800	0.951970	0.949000	0.957530	0.001398
