z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10.500000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.000000
11.500000	0.020000	0.020000	0.020000	0.020000	0.020000	0.030000	0.020000	0.020000	0.020000	0.021111	0.001111
12.500000	0.060000	0.050000	0.050000	0.050000	0.050000	0.060000	0.060000	0.060000	0.050000	0.054444	0.001757
13.500000	0.110000	0.100000	0.100000	0.100000	0.110000	0.110000	0.110000	0.110000	0.100000	0.105556	0.001757
14.500000	0.180000	0.170000	0.170000	0.160000	0.180000	0.180000	0.180000	0.180000	0.170000	0.174444	0.002422
15.500000	0.250000	0.250000	0.250000	0.240000	0.260000	0.270000	0.260000	0.260000	0.250000	0.254444	0.002940
16.500000	0.330000	0.320000	0.330000	0.320000	0.340000	0.340000	0.340000	0.340000	0.320000	0.331111	0.003093
17.500000	0.400000	0.390000	0.390000	0.380000	0.400000	0.410000	0.400000	0.400000	0.380000	0.394444	0.003379
18.500000	0.460000	0.440000	0.450000	0.440000	0.450000	0.460000	0.450000	0.460000	0.440000	0.450000	0.002887
19.500000	0.510000	0.500000	0.500000	0.490000	0.510000	0.510000	0.510000	0.510000	0.500000	0.504444	0.002422
20.500000	0.570000	0.560000	0.570000	0.560000	0.570000	0.580000	0.580000	0.580000	0.560000	0.570000	0.002887
21.500000	0.650000	0.640000	0.650000	0.630000	0.650000	0.660000	0.650000	0.660000	0.640000	0.647778	0.003239
22.500000	0.730000	0.720000	0.730000	0.710000	0.730000	0.740000	0.730000	0.740000	0.720000	0.727778	0.003239
23.500000	0.800000	0.800000	0.800000	0.790000	0.810000	0.820000	0.810000	0.810000	0.800000	0.804444	0.002940
24.500000	0.870000	0.860000	0.870000	0.860000	0.870000	0.880000	0.870000	0.870000	0.860000	0.867778	0.002222
25.500000	0.920000	0.910000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.910000	0.917778	0.001470
26.500000	0.950000	0.950000	0.950000	0.950000	0.950000	0.960000	0.950000	0.950000	0.950000	0.951111	0.001111
27.500000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.970000	0.000000
28.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
29.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
30.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
31.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
32.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
33.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
34.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
35.500000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.980000	0.000000
