cutoff,frame,n_contacts,n_pairs,fraction,system
3.25,85,0,325,0.0,sca
3.25,86,0,325,0.0,sca
3.25,87,0,325,0.0,sca
3.25,88,0,325,0.0,sca
3.25,89,0,325,0.0,sca
3.25,90,0,325,0.0,sca
3.25,91,0,325,0.0,sca
3.25,92,0,325,0.0,sca
3.25,93,0,325,0.0,sca
3.25,94,0,325,0.0,sca
3.25,95,0,325,0.0,sca
3.25,96,0,325,0.0,sca
3.25,97,0,325,0.0,sca
3.25,98,0,325,0.0,sca
3.25,99,0,325,0.0,sca
3.5,0,0,325,0.0,sca
3.5,1,0,325,0.0,sca
3.5,2,0,325,0.0,sca
3.5,3,0,325,0.0,sca
3.5,4,1,325,0.003076923076923077,sca
3.5,5,0,325,0.0,sca
3.5,6,0,325,0.0,sca
3.5,7,0,325,0.0,sca
3.5,8,0,325,0.0,sca
3.5,9,1,325,0.003076923076923077,sca
3.5,10,0,325,0.0,sca
3.5,11,0,325,0.0,sca
3.5,12,0,325,0.0,sca
3.5,13,0,325,0.0,sca
3.5,14,0,325,0.0,sca
3.5,15,0,325,0.0,sca
3.5,16,0,325,0.0,sca
3.5,17,0,325,0.0,sca
3.5,18,0,325,0.0,sca
3.5,19,0,325,0.0,sca
3.5,20,0,325,0.0,sca
3.5,21,0,325,0.0,sca
3.5,22,0,325,0.0,sca
3.5,23,0,325,0.0,sca
3.5,24,0,325,0.0,sca
3.5,25,0,325,0.0,sca
3.5,26,0,325,0.0,sca
3.5,27,0,325,0.0,sca
3.5,28,0,325,0.0,sca
3.5,29,0,325,0.0,sca
3.5,30,0,325,0.0,sca
3.5,31,0,325,0.0,sca
3.5,32,0,325,0.0,sca
3.5,33,0,325,0.0,sca
3.5,34,0,325,0.0,sca
3.5,35,0,325,0.0,sca
3.5,36,0,325,0.0,sca
3.5,37,0,325,0.0,sca
3.5,38,0,325,0.0,sca
3.5,39,0,325,0.0,sca
3.5,40,0,325,0.0,sca
3.5,41,0,325,0.0,sca
3.5,42,0,325,0.0,sca
3.5,43,0,325,0.0,sca
3.5,44,0,325,0.0,sca
3.5,45,0,325,0.0,sca
3.5,46,0,325,0.0,sca
3.5,47,0,325,0.0,sca
3.5,48,0,325,0.0,sca
3.5,49,0,325,0.0,sca
3.5,50,0,325,0.0,sca
3.5,51,0,325,0.0,sca
3.5,52,0,325,0.0,sca
3.5,53,0,325,0.0,sca
3.5,54,0,325,0.0,sca
3.5,55,0,325,0.0,sca
3.5,56,0,325,0.0,sca
3.5,57,0,325,0.0,sca
3.5,58,0,325,0.0,sca
3.5,59,0,325,0.0,sca
3.5,60,0,325,0.0,sca
3.5,61,0,325,0.0,sca
3.5,62,0,325,0.0,sca
3.5,63,0,325,0.0,sca
3.5,64,0,325,0.0,sca
3.5,65,0,325,0.0,sca
3.5,66,0,325,0.0,sca
3.5,67,0,325,0.0,sca
3.5,68,0,325,0.0,sca
3.5,69,0,325,0.0,sca
3.5,70,0,325,0.0,sca
3.5,71,0,325,0.0,sca
3.5,72,0,325,0.0,sca
3.5,73,0,325,0.0,sca
3.5,74,1,325,0.003076923076923077,sca
3.5,75,0,325,0.0,sca
3.5,76,0,325,0.0,sca
3.5,77,0,325,0.0,sca
3.5,78,0,325,0.0,sca
3.5,79,0,325,0.0,sca
3.5,80,0,325,0.0,sca
3.5,81,0,325,0.0,sca
3.5,82,0,325,0.0,sca
3.5,83,0,325,0.0,sca
3.5,84,0,325,0.0,sca
3.5,85,0,325,0.0,sca
3.5,86,0,325,0.0,sca
3.5,87,0,325,0.0,sca
3.5,88,0,325,0.0,sca
3.5,89,0,325,0.0,sca
3.5,90,0,325,0.0,sca
3.5,91,0,325,0.0,sca
3.5,92,0,325,0.0,sca
3.5,93,0,325,0.0,sca
3.5,94,0,325,0.0,sca
3.5,95,0,325,0.0,sca
3.5,96,0,325,0.0,sca
3.5,97,0,325,0.0,sca
3.5,98,0,325,0.0,sca
3.5,99,0,325,0.0,sca
3.75,0,1,325,0.003076923076923077,sca
3.75,1,0,325,0.0,sca
3.75,2,0,325,0.0,sca
3.75,3,0,325,0.0,sca
3.75,4,2,325,0.006153846153846154,sca
3.75,5,0,325,0.0,sca
3.75,6,0,325,0.0,sca
3.75,7,0,325,0.0,sca
3.75,8,0,325,0.0,sca
3.75,9,1,325,0.003076923076923077,sca
3.75,10,1,325,0.003076923076923077,sca
3.75,11,0,325,0.0,sca
3.75,12,1,325,0.003076923076923077,sca
3.75,13,1,325,0.003076923076923077,sca
3.75,14,0,325,0.0,sca
3.75,15,0,325,0.0,sca
3.75,16,0,325,0.0,sca
3.75,17,0,325,0.0,sca
3.75,18,0,325,0.0,sca
3.75,19,0,325,0.0,sca
3.75,20,0,325,0.0,sca
3.75,21,0,325,0.0,sca
3.75,22,0,325,0.0,sca
3.75,23,0,325,0.0,sca
3.75,24,0,325,0.0,sca
3.75,25,0,325,0.0,sca
3.75,26,0,325,0.0,sca
3.75,27,0,325,0.0,sca
3.75,28,0,325,0.0,sca
3.75,29,0,325,0.0,sca
3.75,30,0,325,0.0,sca
3.75,31,0,325,0.0,sca
3.75,32,0,325,0.0,sca
3.75,33,1,325,0.003076923076923077,sca
3.75,34,0,325,0.0,sca
3.75,35,0,325,0.0,sca
3.75,36,0,325,0.0,sca
3.75,37,0,325,0.0,sca
3.75,38,0,325,0.0,sca
3.75,39,0,325,0.0,sca
3.75,40,0,325,0.0,sca
3.75,41,0,325,0.0,sca
3.75,42,0,325,0.0,sca
3.75,43,0,325,0.0,sca
3.75,44,0,325,0.0,sca
3.75,45,0,325,0.0,sca
3.75,46,0,325,0.0,sca
3.75,47,0,325,0.0,sca
3.75,48,0,325,0.0,sca
3.75,49,0,325,0.0,sca
3.75,50,0,325,0.0,sca
3.75,51,0,325,0.0,sca
3.75,52,0,325,0.0,sca
3.75,53,0,325,0.0,sca
3.75,54,0,325,0.0,sca
3.75,55,0,325,0.0,sca
3.75,56,0,325,0.0,sca
3.75,57,0,325,0.0,sca
3.75,58,0,325,0.0,sca
3.75,59,0,325,0.0,sca
3.75,60,0,325,0.0,sca
3.75,61,0,325,0.0,sca
3.75,62,0,325,0.0,sca
3.75,63,0,325,0.0,sca
3.75,64,0,325,0.0,sca
3.75,65,0,325,0.0,sca
3.75,66,0,325,0.0,sca
3.75,67,0,325,0.0,sca
3.75,68,0,325,0.0,sca
3.75,69,0,325,0.0,sca
3.75,70,0,325,0.0,sca
3.75,71,0,325,0.0,sca
3.75,72,0,325,0.0,sca
3.75,73,0,325,0.0,sca
3.75,74,1,325,0.003076923076923077,sca
3.75,75,0,325,0.0,sca
3.75,76,0,325,0.0,sca
3.75,77,1,325,0.003076923076923077,sca
3.75,78,0,325,0.0,sca
3.75,79,0,325,0.0,sca
3.75,80,0,325,0.0,sca
3.75,81,0,325,0.0,sca
3.75,82,0,325,0.0,sca
3.75,83,1,325,0.003076923076923077,sca
3.75,84,0,325,0.0,sca
3.75,85,0,325,0.0,sca
3.75,86,1,325,0.003076923076923077,sca
3.75,87,0,325,0.0,sca
3.75,88,0,325,0.0,sca
3.75,89,0,325,0.0,sca
3.75,90,0,325,0.0,sca
3.75,91,0,325,0.0,sca
3.75,92,0,325,0.0,sca
3.75,93,0,325,0.0,sca
3.75,94,0,325,0.0,sca
3.75,95,0,325,0.0,sca
3.75,96,0,325,0.0,sca
3.75,97,0,325,0.0,sca
3.75,98,0,325,0.0,sca
3.75,99,0,325,0.0,sca
4.0,0,2,325,0.006153846153846154,sca
4.0,1,1,325,0.003076923076923077,sca
4.0,2,1,325,0.003076923076923077,sca
4.0,3,2,325,0.006153846153846154,sca
4.0,4,2,325,0.006153846153846154,sca
4.0,5,1,325,0.003076923076923077,sca
4.0,6,0,325,0.0,sca
4.0,7,1,325,0.003076923076923077,sca
4.0,8,0,325,0.0,sca
4.0,9,2,325,0.006153846153846154,sca
4.0,10,2,325,0.006153846153846154,sca
4.0,11,0,325,0.0,sca
4.0,12,1,325,0.003076923076923077,sca
4.0,13,1,325,0.003076923076923077,sca
4.0,14,0,325,0.0,sca
4.0,15,1,325,0.003076923076923077,sca
4.0,16,0,325,0.0,sca
4.0,17,0,325,0.0,sca
4.0,18,0,325,0.0,sca
4.0,19,0,325,0.0,sca
4.0,20,0,325,0.0,sca
4.0,21,0,325,0.0,sca
4.0,22,0,325,0.0,sca
4.0,23,0,325,0.0,sca
4.0,24,0,325,0.0,sca
4.0,25,0,325,0.0,sca
