#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
39	45.415393	45.415393	137.495459	64.454936	45.194259	45.194259	139.047764	63.828782	46.582005	46.582005	130.828890	67.808849
40	45.280516	45.280516	138.247251	64.072661	44.483466	44.483466	143.839221	61.836836	46.580056	46.580056	131.063003	67.803175
41	45.230507	45.230507	138.851097	63.931212	45.830105	45.830105	135.357384	65.637453	46.303617	46.303617	132.822811	67.000781
42	45.644830	45.644830	136.618767	65.107827	46.172828	46.172828	133.621701	66.622813	45.737584	45.737584	135.723321	65.372705
43	46.224563	46.224563	133.583118	66.772194	45.635196	45.635196	136.853199	65.080347	46.881677	46.881677	129.349810	68.684114
44	46.650746	46.650746	130.798559	68.009129	45.654525	45.654525	136.386204	65.135488	45.786739	45.786739	135.554513	65.513295
45	45.753690	45.753690	136.119609	65.418754	45.978944	45.978944	135.054175	66.064479	45.836583	45.836583	134.811196	65.656012
46	46.747990	46.747990	129.953748	68.292956	45.382747	45.382747	138.139554	64.362305	46.684619	46.684619	129.733704	68.107925
47	46.875881	46.875881	130.576597	68.667133	46.222077	46.222077	134.219850	66.765011	45.931466	45.931466	134.667752	65.928111
48	47.285137	47.285137	127.207692	69.871382	45.827555	45.827555	135.847469	65.630150	47.709445	47.709445	124.970533	71.130972
49	46.951540	46.951540	129.211733	68.888973	46.715056	46.715056	130.441638	68.196764	46.742169	46.742169	130.083052	68.275950
50	46.003229	46.003229	134.856037	66.134284	46.404097	46.404097	132.079508	67.291881	45.760627	45.760627	135.633375	65.438592
51	45.391296	45.391296	137.441836	64.386554	47.192363	47.192363	128.610727	69.597472	45.439195	45.439195	138.036585	64.522515
52	45.849670	45.849670	134.682660	65.693508	46.336687	46.336687	132.377926	67.096517	46.486520	46.486520	131.752279	67.531143
53	46.699462	46.699462	130.438023	68.151242	47.570750	47.570750	126.073304	70.718009	46.114789	46.114789	134.621674	66.455429
54	45.556310	45.556310	137.315612	64.855542	46.406525	46.406525	132.246233	67.298924	45.477813	45.477813	137.178403	64.632234
55	46.362400	46.362400	132.275064	67.171003	45.832379	45.832379	134.711787	65.643966	45.808633	45.808633	135.337123	65.575964
56	46.619885	46.619885	130.670888	67.919177	46.205400	46.205400	133.501574	66.716843	46.584841	46.584841	131.198935	67.817107
57	47.016473	47.016473	128.858099	69.079648	45.912159	45.912159	134.041775	65.872699	46.673471	46.673471	130.419587	68.075404
58	46.620866	46.620866	131.111759	67.922035	46.011634	46.011634	134.769481	66.158451	46.621878	46.621878	131.089848	67.924984
59	47.370689	47.370689	126.436794	70.124442	46.598299	46.598299	130.978550	67.856295	45.816396	45.816396	135.622440	65.598193
