#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
117 34.615 76.923 38.462 50.000 13.507 0.000 0.000 0.000 0.000 0.000
118 38.462 50.000 50.000 46.154 3.846 0.000 0.000 0.000 0.000 0.000
119 50.000 50.000 38.462 46.154 3.846 0.000 0.000 0.000 0.000 0.000
120 34.615 46.154 42.308 41.026 3.392 0.000 0.000 0.000 0.000 0.000
121 53.846 30.769 53.846 46.154 7.692 0.000 0.000 0.000 0.000 0.000
122 46.154 61.538 50.000 52.564 4.623 0.000 0.000 0.000 0.000 0.000
123 42.308 38.462 38.462 39.744 1.282 0.000 0.000 0.000 0.000 0.000
124 46.154 46.154 50.000 47.436 1.282 0.000 0.000 0.000 0.000 0.000
125 30.769 19.231 34.615 28.205 4.623 0.000 0.000 0.000 0.000 0.000
126 30.769 19.231 30.769 26.923 3.846 0.000 0.000 0.000 0.000 0.000
127 34.615 42.308 30.769 35.897 3.392 0.000 0.000 0.000 0.000 0.000
128 57.692 38.462 73.077 56.410 10.013 0.000 0.000 0.000 0.000 0.000
129 42.308 46.154 80.769 56.410 12.230 0.000 0.000 0.000 0.000 0.000
130 46.154 38.462 50.000 44.872 3.392 0.000 0.000 0.000 0.000 0.000
131 38.462 50.000 61.538 50.000 6.662 0.000 0.000 0.000 0.000 0.000
132 42.308 42.308 42.308 42.308 0.000 0.000 0.000 0.000 0.000 0.000
133 46.154 50.000 42.308 46.154 2.221 0.000 0.000 0.000 0.000 0.000
134 46.154 38.462 50.000 44.872 3.392 0.000 0.000 0.000 0.000 0.000
135 26.923 34.615 30.769 30.769 2.221 0.000 0.000 0.000 0.000 0.000
136 50.000 42.308 26.923 39.744 6.784 0.000 0.000 0.000 0.000 0.000
137 34.615 42.308 53.846 43.590 5.588 0.000 0.000 0.000 0.000 0.000
138 42.308 61.538 46.154 50.000 5.875 0.000 0.000 0.000 0.000 0.000
139 42.308 34.615 15.385 30.769 8.006 0.000 0.000 0.000 0.000 0.000
140 46.154 46.154 23.077 38.462 7.692 0.000 0.000 0.000 0.000 0.000
141 50.000 42.308 53.846 48.718 3.392 0.000 0.000 0.000 0.000 0.000
142 46.154 50.000 50.000 48.718 1.282 0.000 0.000 0.000 0.000 0.000
143 42.308 50.000 46.154 46.154 2.221 0.000 0.000 1.562 0.521 0.521
144 38.462 61.538 50.000 50.000 6.662 0.000 0.000 0.000 0.000 0.000
145 42.308 23.077 50.000 38.462 8.006 0.000 0.000 1.562 0.521 0.521
146 38.462 53.846 57.692 50.000 5.875 0.000 0.000 0.000 0.000 0.000
147 57.692 53.846 46.154 52.564 3.392 0.000 0.000 0.000 0.000 0.000
148 73.077 46.154 46.154 55.128 8.974 0.000 0.000 0.000 0.000 0.000
149 26.923 50.000 42.308 39.744 6.784 0.000 0.000 0.000 0.000 0.000
150 30.769 26.923 61.538 39.744 10.954 0.000 0.000 0.000 0.000 0.000
151 42.308 15.385 34.615 30.769 8.006 0.000 0.000 0.000 0.000 0.000
152 30.769 38.462 30.769 33.333 2.564 0.000 0.000 0.000 0.000 0.000
153 53.846 42.308 30.769 42.308 6.662 0.000 0.000 0.000 0.000 0.000
154 38.462 65.385 57.692 53.846 8.006 0.000 0.000 0.000 0.000 0.000
155 61.538 46.154 23.077 43.590 11.177 0.000 0.000 0.000 0.000 0.000
156 53.846 38.462 30.769 41.026 6.784 0.000 0.000 0.000 0.000 0.000
157 34.615 57.692 53.846 48.718 7.138 0.000 0.000 0.000 0.000 0.000
158 46.154 38.462 50.000 44.872 3.392 0.000 0.000 0.000 0.000 0.000
